# px py pz mumu t real imag
0 0 0 0 0 1.140567336e+00 2.280681705e-20
0 0 0 0 1 9.575979342e-02 -4.737030724e-21
0 0 0 0 2 1.919852595e-02 -6.229445494e-22
0 0 0 0 3 5.475277860e-03 -2.454076856e-22
0 0 0 0 4 2.058984910e-03 1.779084552e-23
0 0 0 0 5 9.175405368e-04 -5.804614741e-22
0 0 0 0 6 4.517566550e-04 5.010715223e-22
0 0 0 0 7 2.203451770e-04 6.550398034e-23
0 0 0 0 8 1.091984659e-04 -2.763340623e-23
0 0 0 0 9 5.696897007e-05 -6.160713369e-24
0 0 0 0 10 2.944276905e-05 -3.629941562e-23
0 0 0 0 11 1.661339605e-05 6.637033894e-24
0 0 0 0 12 8.343190491e-06 -1.115673988e-23
0 0 0 0 13 4.175967216e-06 5.274412365e-24
0 0 0 0 14 2.080246909e-06 -4.871588432e-24
0 0 0 0 15 1.268374243e-06 -4.920194886e-24
0 0 0 0 16 7.871409631e-07 3.780606422e-24
0 0 0 0 17 3.944829862e-07 -3.513586472e-25
0 0 0 0 18 1.600363718e-07 2.709516328e-25
0 0 0 0 19 8.139017611e-08 4.823884435e-25
0 0 0 0 20 4.690762180e-08 9.408270700e-25
0 0 0 0 21 5.674652401e-08 9.102429327e-26
0 0 0 0 22 6.218807052e-08 -2.832010650e-26
0 0 0 0 23 6.554156107e-08 -8.972346164e-26
0 0 0 0 24 4.922129631e-08 -3.106317308e-26
0 0 0 0 25 3.160132692e-08 -8.943138589e-26
0 0 0 0 26 1.796508687e-08 1.371119139e-26
0 0 0 0 27 9.755110529e-09 -1.196110348e-27
0 0 0 0 28 5.950422257e-09 -4.361399939e-26
0 0 0 0 29 3.545297075e-09 7.564042094e-27
0 0 0 0 30 2.167417185e-09 -1.592943128e-26
0 0 0 0 31 1.158458362e-09 -4.223179182e-28
0 0 0 0 32 6.754855428e-10 3.116696992e-27
0 0 0 0 33 4.374937173e-10 -3.296772982e-27
0 0 0 0 34 3.192709280e-10 4.572003614e-29
0 0 0 0 35 2.520650382e-10 7.708434454e-28
0 0 0 0 36 1.602211425e-10 4.661212689e-29
0 0 0 0 37 1.089181312e-10 2.066599868e-29
0 0 0 0 38 6.853957541e-11 -1.465621132e-28
0 0 0 0 39 4.026230546e-11 3.015467033e-29
0 0 0 0 40 1.815966752e-11 -4.702157959e-30
0 0 0 0 41 9.003302253e-12 9.458935292e-29
0 0 0 0 42 3.891783388e-12 -2.899429753e-29
0 0 0 0 43 3.900435719e-13 1.050488859e-29
0 0 0 0 44 -8.214826531e-13 -2.646076077e-29
0 0 0 0 45 -1.058678247e-12 1.352802082e-29
0 0 0 0 46 -9.013078499e-13 5.856584442e-30
0 0 0 0 47 -7.049969999e-13 8.736018228e-31
0 0 0 0 48 -3.211527595e-13 -4.135729926e-30
0 0 0 0 49 5.370321343e-14 7.248345679e-30
0 0 0 0 50 -1.556896007e-13 1.066507781e-30
0 0 0 0 51 -4.213447054e-13 -7.532793495e-30
0 0 0 0 52 -6.440764745e-13 -1.561832888e-30
0 0 0 0 53 -4.397015824e-13 6.529263623e-30
0 0 0 0 54 -1.229998663e-12 -8.635677278e-30
0 0 0 0 55 -1.733813075e-12 5.384611235e-29
0 0 0 0 56 -2.525916463e-12 -3.760801921e-29
0 0 0 0 57 1.189027095e-12 6.364986614e-29
0 0 0 0 58 1.383266023e-11 1.016463454e-28
0 0 0 0 59 2.594055096e-11 -1.096689029e-28
0 0 0 0 60 4.400471555e-11 2.368169682e-28
0 0 0 0 61 4.851325293e-11 8.006167816e-29
0 0 0 0 62 5.387698690e-11 6.594723093e-28
0 0 0 0 63 1.087317192e-10 -7.771265993e-28
0 0 0 0 64 1.397223292e-10 4.601616712e-28
0 0 0 0 65 6.410691767e-11 4.921807958e-27
0 0 0 0 66 -1.917700835e-10 -6.146533003e-27
0 0 0 0 67 -4.531621382e-10 -1.036701280e-26
0 0 0 0 68 -7.168246631e-10 2.467754127e-26
0 0 0 0 69 2.293760959e-10 -7.404840102e-27
0 0 0 0 70 2.657564097e-09 4.626743165e-26
0 0 0 0 71 2.811625791e-09 -1.141373261e-26
0 0 0 0 72 -4.399357656e-09 3.032401041e-26
0 0 0 0 73 -6.847887137e-09 7.339482976e-26
0 0 0 0 74 -1.003716761e-08 -4.359625002e-25
0 0 0 0 75 -1.782342949e-08 3.769729608e-25
0 0 0 0 76 -3.000738462e-08 5.241144523e-25
0 0 0 0 77 -5.783913201e-08 -3.079586756e-25
0 0 0 0 78 -7.248426340e-08 -8.579335661e-26
0 0 0 0 79 -1.019472968e-07 -1.978242269e-25
0 0 0 0 80 3.108573192e-08 5.004533583e-26
0 0 0 0 81 5.011356431e-07 1.393393416e-24
0 0 0 0 82 1.783497142e-06 6.363469554e-24
0 0 0 0 83 4.752366809e-06 1.031519568e-23
0 0 0 0 84 1.036880928e-05 1.559142558e-24
0 0 0 0 85 2.102550426e-05 -1.323165863e-24
0 0 0 0 86 4.026279037e-05 -4.955177396e-23
0 0 0 0 87 7.336651257e-05 -2.532089520e-23
0 0 0 0 88 1.453503784e-04 -7.420593654e-23
0 0 0 0 89 2.741426835e-04 1.250084779e-22
0 0 0 0 90 5.318337502e-04 -5.209864610e-24
0 0 0 0 91 1.056901656e-03 3.430780058e-22
0 0 0 0 92 2.239091579e-03 -3.986218915e-22
0 0 0 0 93 5.671682048e-03 -8.948317082e-22
0 0 0 0 94 1.918681601e-02 1.495154807e-21
0 0 0 0 95 9.534663672e-02 -1.462667288e-20
0 0 0 1 0 1.140548621e+00 -1.201686635e-20
0 0 0 1 1 9.604062408e-02 -2.497335817e-21
0 0 0 1 2 1.943936537e-02 1.279234817e-21
0 0 0 1 3 5.645195110e-03 -2.284750400e-21
0 0 0 1 4 2.150850024e-03 8.263889749e-23
0 0 0 1 5 9.916187673e-04 5.868458705e-22
0 0 0 1 6 5.068630798e-04 2.202594563e-22
0 0 0 1 7 2.644166299e-04 -1.547520428e-23
0 0 0 1 8 1.390325057e-04 3.811089269e-23
0 0 0 1 9 7.099475027e-05 -8.798295680e-23
0 0 0 1 10 3.778394195e-05 7.760826207e-24
0 0 0 1 11 2.224156962e-05 6.494862227e-24
0 0 0 1 12 1.301538746e-05 1.634035119e-23
0 0 0 1 13 7.766705545e-06 -1.188441042e-23
0 0 0 1 14 4.411400533e-06 -1.310758658e-24
0 0 0 1 15 2.385202081e-06 -2.900225030e-24
0 0 0 1 16 1.272239068e-06 -4.608954549e-24
0 0 0 1 17 6.239482745e-07 2.901029668e-24
0 0 0 1 18 2.595711359e-07 6.919887861e-26
0 0 0 1 19 1.383503793e-07 5.583273497e-25
0 0 0 1 20 8.613883542e-08 4.759828930e-25
0 0 0 1 21 4.206057763e-08 -4.380536718e-25
0 0 0 1 22 3.017551680e-08 3.824665881e-25
0 0 0 1 23 2.597873033e-08 -3.657750802e-26
0 0 0 1 24 1.781905166e-08 -9.077363272e-26
0 0 0 1 25 1.077310653e-08 3.611799655e-27
0 0 0 1 26 7.971766400e-09 1.751162741e-26
0 0 0 1 27 5.651676538e-09 2.274912148e-26
0 0 0 1 28 3.722610666e-09 3.499884944e-26
0 0 0 1 29 2.823792622e-09 -8.358856433e-27
0 0 0 1 30 2.204084038e-09 -2.054378686e-27
0 0 0 1 31 1.461053068e-09 -2.753623760e-27
