# px py pz mumu t real imag
0 0 0 0 0 1.136343272e+00 2.529725108e-20
0 0 0 0 1 9.419762966e-02 7.674762669e-21
0 0 0 0 2 1.842442539e-02 2.334730204e-21
0 0 0 0 3 5.150386582e-03 1.772922703e-21
0 0 0 0 4 1.909856435e-03 5.188361145e-22
0 0 0 0 5 8.176605905e-04 1.307494667e-23
0 0 0 0 6 3.774380583e-04 1.751235869e-22
0 0 0 0 7 1.803521432e-04 -2.393540806e-22
0 0 0 0 8 8.639521808e-05 -1.369579662e-22
0 0 0 0 9 3.940218784e-05 7.004080145e-23
0 0 0 0 10 1.797865142e-05 2.185909587e-23
0 0 0 0 11 8.985855732e-06 2.342273178e-23
0 0 0 0 12 4.636004993e-06 -1.760252864e-23
0 0 0 0 13 2.834725117e-06 -9.260179420e-24
0 0 0 0 14 1.472345661e-06 3.505748350e-24
0 0 0 0 15 6.030603776e-07 -6.954004517e-24
0 0 0 0 16 3.779582941e-07 3.041595215e-25
0 0 0 0 17 2.608090079e-07 2.731077475e-24
0 0 0 0 18 1.642596838e-07 1.083443655e-24
0 0 0 0 19 1.004090037e-07 -2.192291787e-25
0 0 0 0 20 9.452139135e-08 -5.037926065e-25
0 0 0 0 21 8.531183601e-08 3.031478074e-25
0 0 0 0 22 6.170977805e-08 2.747681419e-26
0 0 0 0 23 4.045529959e-08 -6.513151178e-26
0 0 0 0 24 2.679085621e-08 -1.123298486e-26
0 0 0 0 25 1.586170183e-08 1.282962947e-25
0 0 0 0 26 8.864669171e-09 -4.550016581e-26
0 0 0 0 27 4.408337175e-09 -2.510204704e-26
0 0 0 0 28 2.691492451e-09 4.268082624e-27
0 0 0 0 29 1.423741340e-09 6.424187389e-27
0 0 0 0 30 7.930150916e-10 3.981035862e-28
0 0 0 0 31 4.285474223e-10 7.120887154e-28
0 0 0 0 32 3.674775826e-10 -7.749140909e-28
0 0 0 0 33 2.355061841e-10 2.506744193e-28
0 0 0 0 34 1.138758834e-10 5.910047294e-28
0 0 0 0 35 4.705814130e-11 -9.413206011e-28
0 0 0 0 36 5.246735483e-12 -2.014907908e-28
0 0 0 0 37 -1.837131225e-12 -3.091418006e-28
0 0 0 0 38 2.761311944e-12 -1.040518319e-28
0 0 0 0 39 2.988833803e-12 2.152337454e-28
0 0 0 0 40 -2.697389077e-12 -2.542034934e-29
0 0 0 0 41 -5.211864965e-12 -5.362944523e-30
0 0 0 0 42 -4.823663388e-12 1.041326247e-30
0 0 0 0 43 -4.427422683e-12 2.974406206e-30
0 0 0 0 44 -3.213125881e-12 -2.748253882e-29
0 0 0 0 45 -2.367136491e-12 -9.086465255e-30
0 0 0 0 46 -1.403193720e-12 -1.615915409e-30
0 0 0 0 47 -6.105854016e-13 -5.052948043e-31
0 0 0 0 48 -4.197272992e-13 -4.967418698e-30
0 0 0 0 49 -2.796937618e-13 6.704041766e-31
0 0 0 0 50 -1.643677452e-13 -6.502059863e-31
0 0 0 0 51 -8.469755595e-14 2.322558665e-30
0 0 0 0 52 2.445350060e-13 -8.414099038e-30
0 0 0 0 53 6.748205849e-13 1.556183895e-29
0 0 0 0 54 2.067550238e-12 1.475255115e-29
0 0 0 0 55 5.066801609e-12 1.461039345e-29
0 0 0 0 56 7.065894399e-12 -5.655156244e-29
0 0 0 0 57 4.502043006e-12 1.642032463e-28
0 0 0 0 58 3.220725274e-12 -3.211018255e-28
0 0 0 0 59 4.329478905e-12 3.904244220e-28
0 0 0 0 60 5.702267996e-14 -2.609180555e-28
0 0 0 0 61 -3.510836272e-11 1.156140368e-27
0 0 0 0 62 -1.142498844e-10 1.583222266e-27
0 0 0 0 63 -1.360656645e-10 -1.160643962e-27
0 0 0 0 64 -6.733779117e-11 -5.744201615e-29
0 0 0 0 65 7.458567775e-12 9.393053080e-28
0 0 0 0 66 -3.532433026e-10 -6.171018505e-27
0 0 0 0 67 -1.063268862e-09 2.060926848e-27
0 0 0 0 68 -1.834712980e-09 8.578862344e-29
0 0 0 0 69 -2.008461188e-09 3.563679139e-28
0 0 0 0 70 -1.854032320e-09 7.889762761e-26
0 0 0 0 71 -1.764095186e-09 2.468671178e-26
0 0 0 0 72 1.257149787e-09 6.942370396e-27
0 0 0 0 73 1.215717716e-08 1.422395098e-25
