# px py pz mumu t real imag
0 0 0 0 0 1.138602110e+00 -4.293832521e-20
0 0 0 0 1 9.573291103e-02 3.706286132e-22
0 0 0 0 2 1.914256720e-02 7.647284763e-22
0 0 0 0 3 5.588615470e-03 -1.331205024e-21
0 0 0 0 4 2.207161710e-03 1.011034428e-23
0 0 0 0 5 1.058430252e-03 9.887764844e-22
0 0 0 0 6 5.395265359e-04 3.451071833e-22
0 0 0 0 7 2.775612228e-04 1.497200948e-22
0 0 0 0 8 1.488268378e-04 2.689587051e-22
0 0 0 0 9 8.082841350e-05 -4.704993631e-24
0 0 0 0 10 4.319652511e-05 3.351045784e-23
0 0 0 0 11 2.435397877e-05 -2.830549048e-23
0 0 0 0 12 1.367247561e-05 -1.010322560e-23
0 0 0 0 13 7.716732511e-06 -2.265648909e-23
0 0 0 0 14 4.649596234e-06 1.203915337e-23
0 0 0 0 15 2.791250022e-06 -3.259245094e-24
0 0 0 0 16 1.511412779e-06 -2.041824458e-24
0 0 0 0 17 8.165490145e-07 -4.382008733e-24
0 0 0 0 18 4.918997021e-07 2.812383790e-25
0 0 0 0 19 2.549650183e-07 4.303394010e-26
0 0 0 0 20 9.371326913e-08 8.968315085e-25
0 0 0 0 21 3.257219819e-08 -2.542009604e-25
0 0 0 0 22 1.630127678e-08 1.213903105e-25
0 0 0 0 23 9.870832901e-09 -2.099931952e-25
0 0 0 0 24 1.868797337e-09 8.898765163e-26
0 0 0 0 25 -7.777031825e-10 2.202539090e-26
0 0 0 0 26 -2.083200493e-09 3.760051271e-26
0 0 0 0 27 -1.939592609e-09 1.498022207e-26
0 0 0 0 28 -1.596340571e-09 -4.842619882e-27
0 0 0 0 29 -8.760996057e-10 -1.433813860e-26
0 0 0 0 30 -1.827368054e-10 -3.729339929e-28
0 0 0 0 31 1.373838860e-10 9.312996024e-28
0 0 0 0 32 1.082810562e-10 1.450428626e-27
0 0 0 0 33 1.121216940e-10 -5.862407491e-28
0 0 0 0 34 1.065671923e-10 -4.264571268e-28
