# px py pz mumu t real imag
0 0 0 0 0 1.135019633e+00 -2.448909562e-20
0 0 0 0 1 9.478341598e-02 -9.056438635e-21
0 0 0 0 2 1.901277726e-02 3.886605043e-21
0 0 0 0 3 5.652406833e-03 9.998093290e-22
0 0 0 0 4 2.212304940e-03 1.236321592e-21
0 0 0 0 5 1.061325115e-03 4.386799706e-22
0 0 0 0 6 5.624888820e-04 1.187941220e-22
0 0 0 0 7 2.949008888e-04 1.048112153e-24
0 0 0 0 8 1.573318339e-04 5.081344654e-23
0 0 0 0 9 8.918900214e-05 1.080563240e-22
0 0 0 0 10 5.267796856e-05 -6.572339727e-23
0 0 0 0 11 2.971463160e-05 5.083091507e-24
0 0 0 0 12 1.679757976e-05 -2.397915009e-23
0 0 0 0 13 9.549642362e-06 -2.009537959e-24
0 0 0 0 14 5.405308445e-06 -3.459375950e-24
0 0 0 0 15 3.297431474e-06 -2.244138881e-24
0 0 0 0 16 1.990964151e-06 6.929581383e-24
0 0 0 0 17 1.086585808e-06 1.159676018e-24
0 0 0 0 18 6.446965325e-07 -6.031220274e-25
0 0 0 0 19 4.133246026e-07 -1.115083289e-24
0 0 0 0 20 2.655705847e-07 3.578588610e-26
0 0 0 0 21 1.673851426e-07 1.292943024e-27
0 0 0 0 22 1.016222999e-07 3.596992735e-25
0 0 0 0 23 6.244340825e-08 -1.835631995e-25
0 0 0 0 24 3.685622668e-08 2.023160009e-25
0 0 0 0 25 2.131310817e-08 8.787910484e-28
0 0 0 0 26 1.176664870e-08 -1.886689045e-26
0 0 0 0 27 7.789280080e-09 1.939823757e-26
0 0 0 0 28 6.088147370e-09 -1.158543312e-26
0 0 0 0 29 4.454692686e-09 2.279660105e-27
0 0 0 0 30 3.181286707e-09 7.103556866e-27
0 0 0 0 31 2.172285199e-09 8.216047958e-27
0 0 0 0 32 1.263703212e-09 4.442676647e-27
0 0 0 0 33 8.011045594e-10 -7.766951909e-28
0 0 0 0 34 4.465138887e-10 -4.099734776e-28
0 0 0 0 35 2.197142550e-10 8.693493695e-29
0 0 0 0 36 1.175074056e-10 3.140328923e-28
0 0 0 0 37 7.422908725e-11 -1.938868342e-28
0 0 0 0 38 3.601183264e-11 2.333229461e-28
0 0 0 0 39 1.454824342e-11 -1.307852803e-28
0 0 0 0 40 5.910792076e-12 2.696301922e-31
0 0 0 0 41 2.848136909e-12 6.704080284e-29
0 0 0 0 42 1.523702251e-13 -3.769141198e-30
0 0 0 0 43 -9.802815413e-13 4.106564124e-31
0 0 0 0 44 -6.609340459e-13 6.684204687e-30
0 0 0 0 45 -6.993109538e-13 1.027655906e-30
0 0 0 0 46 -5.875909164e-13 3.718790167e-30
0 0 0 0 47 -6.102793393e-13 8.157306372e-31
0 0 0 0 48 -5.991539422e-13 -4.436018515e-31
0 0 0 0 49 -3.471396071e-13 9.639207149e-30
0 0 0 0 50 -1.959705954e-13 -4.617982784e-30
0 0 0 0 51 -1.564308389e-13 3.145669526e-30
0 0 0 0 52 -1.056707440e-13 7.800588035e-30
0 0 0 0 53 -3.393122417e-13 -2.325441241e-29
0 0 0 0 54 -2.754055817e-12 2.724516796e-30
0 0 0 0 55 -6.820335991e-12 8.454148751e-29
0 0 0 0 56 -1.257317220e-11 -6.613836022e-30
0 0 0 0 57 -2.013458567e-11 3.647412796e-29
0 0 0 0 58 -3.883352426e-11 -4.529325006e-29
0 0 0 0 59 -6.462852839e-11 -1.126333906e-28
0 0 0 0 60 -1.197053664e-10 2.104386613e-28
0 0 0 0 61 -2.135613001e-10 -9.617940068e-28
0 0 0 0 62 -3.036367921e-10 1.010832805e-27
0 0 0 0 63 -3.961642070e-10 2.435053377e-28
0 0 0 0 64 -6.453688829e-10 -1.299783927e-27
0 0 0 0 65 -1.040937745e-09 2.781005862e-27
0 0 0 0 66 -1.448733468e-09 -2.639688826e-27
0 0 0 0 67 -2.183034541e-09 -5.371205992e-27
0 0 0 0 68 -2.968564946e-09 -1.088476440e-26
