# px py pz mumu t real imag
0 0 0 0 0 1.136916108e+00 1.780506269e-22
0 0 0 0 1 9.544771363e-02 -1.381836233e-20
0 0 0 0 2 1.937757773e-02 5.718467596e-21
0 0 0 0 3 5.669400220e-03 3.864484424e-24
0 0 0 0 4 2.147031517e-03 5.908799916e-22
0 0 0 0 5 9.678322968e-04 9.298277489e-22
0 0 0 0 6 4.857772483e-04 -1.169353890e-22
0 0 0 0 7 2.414423634e-04 -9.464695081e-23
0 0 0 0 8 1.210902231e-04 -1.027968811e-22
0 0 0 0 9 6.607768566e-05 -5.720713262e-23
0 0 0 0 10 3.278763893e-05 2.546609609e-23
0 0 0 0 11 1.459605605e-05 -1.607075009e-23
0 0 0 0 12 6.434091561e-06 8.760521234e-25
0 0 0 0 13 3.446397880e-06 -7.837692814e-24
0 0 0 0 14 2.015733268e-06 -8.139719256e-24
0 0 0 0 15 8.934888785e-07 9.935078323e-24
0 0 0 0 16 2.522404485e-07 -1.331170434e-24
0 0 0 0 17 1.917368672e-07 2.314347502e-24
0 0 0 0 18 7.325506275e-08 -5.119849270e-25
0 0 0 0 19 1.348238940e-08 1.300437202e-25
0 0 0 0 20 3.287652233e-08 9.865009331e-25
0 0 0 0 21 2.547217498e-08 1.874388731e-25
0 0 0 0 22 1.530312757e-08 -3.091561665e-25
0 0 0 0 23 5.245647012e-09 3.536857869e-27
0 0 0 0 24 4.915761675e-09 6.146912642e-26
0 0 0 0 25 3.104287143e-09 2.503272589e-26
0 0 0 0 26 -8.948988593e-10 1.370892342e-26
0 0 0 0 27 -8.876954762e-10 2.458623062e-26
0 0 0 0 28 -1.774951840e-10 1.221080260e-26
0 0 0 0 29 1.715199303e-10 3.219612525e-27
0 0 0 0 30 1.383442454e-10 8.669630652e-27
0 0 0 0 31 -1.605593448e-11 4.730601633e-27
0 0 0 0 32 -9.081494866e-11 -1.597850089e-27
0 0 0 0 33 -5.852286842e-11 6.623288486e-28
0 0 0 0 34 -3.846291709e-11 9.454004911e-29
0 0 0 0 35 -8.461393975e-12 -1.673728648e-27
0 0 0 0 36 1.222285512e-11 -3.811222767e-28
0 0 0 0 37 2.787099282e-11 -2.152034120e-28
0 0 0 0 38 2.083054222e-11 -5.593439819e-29
0 0 0 0 39 1.020202890e-11 2.003275291e-29
0 0 0 0 40 6.471934126e-12 1.951602591e-29
0 0 0 0 41 5.199260237e-12 2.861200044e-29
0 0 0 0 42 3.369176636e-12 -5.351803018e-29
0 0 0 0 43 1.441111492e-12 -8.503654780e-30
0 0 0 0 44 4.243182257e-13 2.817454953e-30
0 0 0 0 45 -1.949468774e-13 -6.012344026e-30
0 0 0 0 46 -1.124349695e-13 4.546278004e-30
0 0 0 0 47 -2.707979908e-13 -3.718994797e-30
0 0 0 0 48 -1.003627107e-13 -5.666651638e-30
0 0 0 0 49 4.119270862e-13 2.061984858e-30
0 0 0 0 50 8.350852396e-13 3.237151199e-30
0 0 0 0 51 1.451595930e-12 -1.127942539e-29
0 0 0 0 52 2.231642439e-12 -6.165046197e-30
0 0 0 0 53 2.536035534e-12 -1.043998475e-30
0 0 0 0 54 2.115061838e-12 1.599008151e-29
0 0 0 0 55 3.333707054e-12 -4.913220622e-29
0 0 0 0 56 5.724067905e-12 3.305858750e-31
0 0 0 0 57 4.116372860e-12 -9.470490871e-29
0 0 0 0 58 2.291184578e-12 1.820086612e-28
0 0 0 0 59 1.177337702e-11 -1.160187902e-28
0 0 0 0 60 3.159140151e-11 3.689157327e-29
0 0 0 0 61 3.056590245e-11 2.883440683e-28
0 0 0 0 62 2.939250592e-11 5.488022117e-28
0 0 0 0 63 7.968442141e-12 -1.645070810e-27
0 0 0 0 64 5.147385921e-11 2.130553068e-27
0 0 0 0 65 1.777922751e-10 -2.504731982e-27
0 0 0 0 66 1.991691020e-10 5.268432207e-27
0 0 0 0 67 1.714119861e-10 1.127615034e-26
0 0 0 0 68 -3.876338106e-10 2.096792286e-27
0 0 0 0 69 -1.765145050e-09 2.733324151e-26
0 0 0 0 70 -2.841913089e-09 4.330723110e-26
0 0 0 0 71 -2.986134727e-09 -7.031886388e-26
