# px py pz mumu t real imag
0 0 0 0 0 1.134679744e+00 3.557393622e-21
0 0 0 0 1 9.489014838e-02 8.867557112e-21
0 0 0 0 2 1.929859551e-02 -1.552017011e-21
0 0 0 0 3 5.745712658e-03 -6.922467751e-22
0 0 0 0 4 2.253120338e-03 1.207955113e-21
0 0 0 0 5 1.040908318e-03 -3.993036693e-22
0 0 0 0 6 5.263415137e-04 7.545720878e-23
0 0 0 0 7 2.755768084e-04 -6.776862961e-23
0 0 0 0 8 1.430405271e-04 -3.722171393e-23
0 0 0 0 9 7.783638018e-05 -3.669785980e-23
0 0 0 0 10 4.320568524e-05 -2.644054757e-23
0 0 0 0 11 2.382525185e-05 4.413834537e-25
0 0 0 0 12 1.257123573e-05 3.327012033e-23
0 0 0 0 13 7.242791241e-06 1.445810383e-23
0 0 0 0 14 3.925379281e-06 -1.958924643e-24
0 0 0 0 15 2.071808399e-06 -1.358860241e-24
0 0 0 0 16 8.685233676e-07 -1.805948737e-24
0 0 0 0 17 3.165659719e-07 2.278608948e-25
0 0 0 0 18 8.387030589e-08 1.116430663e-24
0 0 0 0 19 3.965250652e-08 1.718643923e-25
0 0 0 0 20 1.340677368e-08 -3.945219605e-25
0 0 0 0 21 -1.649049937e-08 -1.268283232e-25
0 0 0 0 22 -2.377889482e-08 -9.702358045e-26
0 0 0 0 23 -1.666957238e-08 -1.050064584e-25
0 0 0 0 24 -2.845550049e-09 3.183290411e-26
0 0 0 0 25 -4.771938615e-09 4.967457120e-26
0 0 0 0 26 -2.844190423e-09 -4.810601990e-26
0 0 0 0 27 -1.103542438e-10 -3.820299290e-26
0 0 0 0 28 3.748921140e-10 3.184804038e-26
0 0 0 0 29 1.930690206e-10 1.983285063e-26
0 0 0 0 30 -3.726420422e-11 -5.655023355e-27
0 0 0 0 31 6.951836012e-11 -8.618243760e-27
0 0 0 0 32 1.466047326e-11 -3.634541035e-27
0 0 0 0 33 -5.094359661e-11 1.783183098e-27
0 0 0 0 34 -7.588454705e-11 5.004783183e-28
0 0 0 0 35 -5.274414790e-11 -1.808032217e-28
0 0 0 0 36 -4.382354138e-11 3.554018675e-28
0 0 0 0 37 -3.149144430e-11 -5.553584625e-28
0 0 0 0 38 -2.219485506e-11 -1.980314354e-28
0 0 0 0 39 -2.410801874e-11 3.129894234e-28
0 0 0 0 40 -1.603791260e-11 3.978701635e-29
0 0 0 0 41 -1.173604840e-11 2.738219787e-29
0 0 0 0 42 -8.175400307e-12 -3.624263118e-29
0 0 0 0 43 -5.119664686e-12 -3.715488401e-29
0 0 0 0 44 -3.141409090e-12 2.739518586e-29
0 0 0 0 45 -1.514399794e-12 2.031064053e-29
0 0 0 0 46 -4.342039166e-13 -3.302319853e-30
0 0 0 0 47 -3.378396918e-14 1.316373117e-30
0 0 0 0 48 8.461834715e-14 5.312689789e-30
0 0 0 0 49 2.097516650e-13 5.273942486e-30
0 0 0 0 50 1.229526107e-13 1.576782920e-29
0 0 0 0 51 -2.327452714e-13 9.147083900e-31
0 0 0 0 52 -1.118431311e-12 3.983328682e-30
0 0 0 0 53 -2.845980729e-12 -7.271396653e-30
0 0 0 0 54 -5.513478308e-12 2.571963885e-29
0 0 0 0 55 -1.094992447e-11 1.332069446e-29
0 0 0 0 56 -1.178566920e-11 7.613682553e-29
0 0 0 0 57 -1.002709924e-11 -6.544232914e-29
0 0 0 0 58 -8.312694199e-12 2.279372756e-28
0 0 0 0 59 4.621484814e-12 -1.351444301e-28
0 0 0 0 60 2.246333986e-11 -1.539819509e-29
0 0 0 0 61 3.065986489e-11 -1.144680314e-28
0 0 0 0 62 6.480821387e-11 -1.300583573e-27
0 0 0 0 63 1.728317034e-10 -2.046594848e-27
0 0 0 0 64 3.961732734e-10 -1.149046783e-27
0 0 0 0 65 8.830456884e-10 -7.843471417e-27
0 0 0 0 66 1.762900549e-09 -6.760593425e-27
0 0 0 0 67 3.070298100e-09 7.421751308e-27
0 0 0 0 68 5.583799983e-09 5.571675270e-27
0 0 0 0 69 8.214403154e-09 -3.001278013e-26
0 0 0 0 70 1.112721457e-08 3.338193110e-26
0 0 0 0 71 1.551694255e-08 -6.263565448e-26
0 0 0 0 72 2.678739172e-08 1.509181631e-25
0 0 0 0 73 5.150000182e-08 -1.925593692e-25
0 0 0 0 74 9.376633259e-08 -3.580308327e-25
0 0 0 0 75 1.655494269e-07 5.146410217e-25
0 0 0 0 76 3.083195872e-07 -3.471461300e-25
0 0 0 0 77 4.859238129e-07 1.267423373e-25
0 0 0 0 78 7.386011756e-07 1.472408880e-25
0 0 0 0 79 1.155245850e-06 -1.388130136e-24
0 0 0 0 80 1.814698893e-06 3.227797943e-25
0 0 0 0 81 2.666517933e-06 -7.955933597e-24
0 0 0 0 82 4.261286833e-06 -5.783297068e-25
0 0 0 0 83 7.065328080e-06 -1.611858662e-23
0 0 0 0 84 1.151429379e-05 1.734865427e-23
0 0 0 0 85 1.930865005e-05 -2.558660880e-23
0 0 0 0 86 3.412974629e-05 -8.093687644e-24
0 0 0 0 87 6.061342981e-05 -9.366548162e-23
0 0 0 0 88 1.120096545e-04 1.190930056e-23
0 0 0 0 89 2.213682273e-04 6.370744745e-23
0 0 0 0 90 4.506467312e-04 -4.445191064e-22
0 0 0 0 91 9.229253766e-04 -4.230116026e-22
0 0 0 0 92 2.044449388e-03 -4.962986740e-22
0 0 0 0 93 5.387823383e-03 4.371649537e-22
0 0 0 0 94 1.890887646e-02 -4.800426363e-22
0 0 0 0 95 9.432419621e-02 -5.810633610e-21
0 0 0 1 0 1.136480994e+00 2.481148927e-20
0 0 0 1 1 9.525471555e-02 2.374919549e-21
0 0 0 1 2 1.925916435e-02 3.175559296e-21
0 0 0 1 3 5.541473333e-03 -1.369505748e-21
0 0 0 1 4 2.078543706e-03 -3.821881392e-22
0 0 0 1 5 8.899097408e-04 -4.983230047e-22
0 0 0 1 6 4.298527769e-04 -1.893977031e-22
0 0 0 1 7 2.109619877e-04 -9.177383104e-23
0 0 0 1 8 1.076730710e-04 -8.623963731e-23
0 0 0 1 9 5.390160802e-05 -6.804095701e-23
0 0 0 1 10 2.510970390e-05 -6.277091178e-23
0 0 0 1 11 1.279095438e-05 -3.297377999e-23
0 0 0 1 12 6.968867583e-06 -2.580380429e-23
0 0 0 1 13 3.482535392e-06 8.423358927e-24
0 0 0 1 14 1.914241175e-06 -3.092574562e-24
0 0 0 1 15 1.063011784e-06 3.927006384e-24
0 0 0 1 16 3.104610927e-07 -1.151610704e-25
0 0 0 1 17 1.263915552e-07 1.095361766e-24
0 0 0 1 18 7.108286826e-08 8.076042403e-26
0 0 0 1 19 -9.800727027e-09 1.468507962e-25
0 0 0 1 20 -3.747051679e-08 6.522578066e-25
0 0 0 1 21 -2.491531053e-08 -2.616509628e-25
0 0 0 1 22 -1.088141422e-08 -3.026535860e-25
0 0 0 1 23 -1.124301608e-10 6.948109359e-26
0 0 0 1 24 6.758077342e-09 1.120487183e-25
0 0 0 1 25 8.530836702e-09 6.696837440e-26
0 0 0 1 26 7.207250287e-09 -5.736852883e-26
0 0 0 1 27 3.906476379e-09 -6.508570854e-27
0 0 0 1 28 2.153721721e-09 4.097984491e-27
0 0 0 1 29 4.916211984e-10 3.674637356e-27
0 0 0 1 30 -2.436775434e-10 -6.669461501e-27
0 0 0 1 31 -5.958622896e-10 9.005938080e-27
0 0 0 1 32 -6.279570060e-10 9.021302379e-28
0 0 0 1 33 -3.621621156e-10 -6.659588414e-28
0 0 0 1 34 -1.394928817e-10 4.229681122e-28
0 0 0 1 35 -4.851576531e-11 -3.197567561e-28
0 0 0 1 36 -3.136273644e-11 5.928359036e-28
