# px py pz mumu t real imag
0 0 0 0 0 1.137939088e+00 2.602310207e-20
0 0 0 0 1 9.543378366e-02 -1.026621613e-20
0 0 0 0 2 1.952114808e-02 3.144423701e-21
0 0 0 0 3 5.824121829e-03 1.081215533e-21
0 0 0 0 4 2.307204481e-03 -7.475919436e-22
0 0 0 0 5 1.065583387e-03 3.033717208e-22
0 0 0 0 6 5.621430644e-04 -3.037416903e-22
0 0 0 0 7 3.087760604e-04 2.882130706e-22
0 0 0 0 8 1.746369141e-04 5.659361340e-23
0 0 0 0 9 9.636729216e-05 -1.806206221e-23
0 0 0 0 10 5.075325264e-05 3.229154784e-25
0 0 0 0 11 2.765736742e-05 -1.869133340e-23
0 0 0 0 12 1.476192851e-05 1.031400924e-24
0 0 0 0 13 7.555584652e-06 1.829299019e-24
0 0 0 0 14 3.679964778e-06 -1.467175576e-23
0 0 0 0 15 1.899631034e-06 -6.854191524e-24
0 0 0 0 16 9.319154212e-07 -2.205692956e-24
0 0 0 0 17 5.313591297e-07 1.615170615e-24
0 0 0 0 18 2.325358243e-07 -1.510589747e-24
0 0 0 0 19 9.505128199e-08 -3.262807590e-25
0 0 0 0 20 5.609151298e-09 2.791723523e-25
0 0 0 0 21 -1.176006894e-09 1.353196220e-25
0 0 0 0 22 1.681148546e-09 -6.983923645e-26
0 0 0 0 23 2.425018854e-09 -7.288207017e-26
0 0 0 0 24 1.197198835e-09 6.285091490e-26
0 0 0 0 25 1.108268620e-09 8.637307077e-26
0 0 0 0 26 5.510703595e-09 2.514020819e-26
0 0 0 0 27 4.429591829e-09 2.678002814e-26
0 0 0 0 28 2.294402393e-09 -9.426444083e-27
0 0 0 0 29 1.243813655e-09 3.897564517e-27
0 0 0 0 30 2.599145993e-10 1.931834075e-27
0 0 0 0 31 -1.591696457e-11 -2.749426774e-28
0 0 0 0 32 -6.746777958e-11 -6.031581178e-28
0 0 0 0 33 3.060940070e-11 -1.822222469e-28
0 0 0 0 34 8.827446626e-11 -5.240070193e-29
0 0 0 0 35 1.067595460e-10 -4.408083864e-28
0 0 0 0 36 8.963417605e-11 5.680907853e-28
0 0 0 0 37 6.042675741e-11 1.163292501e-28
0 0 0 0 38 2.608225556e-11 9.717125460e-29
0 0 0 0 39 1.005464566e-11 -8.361578928e-29
0 0 0 0 40 8.269589807e-12 6.665258352e-30
0 0 0 0 41 7.667447484e-12 2.130916298e-29
0 0 0 0 42 6.408172388e-12 2.535409735e-29
0 0 0 0 43 4.636721727e-12 -2.167470448e-29
0 0 0 0 44 2.772620999e-12 1.125115033e-29
0 0 0 0 45 1.771604749e-12 2.275498266e-30
0 0 0 0 46 1.430739380e-12 -8.179605030e-30
0 0 0 0 47 9.540509133e-13 -1.475093819e-30
0 0 0 0 48 8.653124798e-13 9.286473080e-31
0 0 0 0 49 1.115384502e-12 2.152190602e-30
0 0 0 0 50 1.009834925e-12 3.707836440e-30
0 0 0 0 51 1.326285797e-12 -1.620138010e-29
0 0 0 0 52 1.391021017e-12 1.917672520e-30
0 0 0 0 53 1.594470941e-12 4.534727240e-29
0 0 0 0 54 2.315659701e-12 1.005778395e-29
0 0 0 0 55 3.060625582e-12 1.281456007e-29
0 0 0 0 56 7.222936977e-12 -9.547826588e-29
0 0 0 0 57 1.451222224e-11 8.941659398e-29
0 0 0 0 58 2.526786898e-11 -1.454870591e-28
0 0 0 0 59 3.391976824e-11 -6.942784857e-28
0 0 0 0 60 5.491937351e-11 -3.823541015e-28
0 0 0 0 61 8.924178362e-11 2.597189715e-28
0 0 0 0 62 1.141027624e-10 1.232595164e-27
0 0 0 0 63 1.880673156e-10 1.534414579e-27
0 0 0 0 64 2.570060781e-10 -1.148439730e-27
0 0 0 0 65 4.729332263e-10 -1.722773609e-27
0 0 0 0 66 8.312055244e-10 -1.061037639e-26
0 0 0 0 67 9.581322878e-10 -3.993756244e-27
0 0 0 0 68 -1.850365771e-10 4.668626749e-27
0 0 0 0 69 -1.688661930e-09 4.088256850e-26
0 0 0 0 70 -2.760294690e-09 -1.722625698e-27
0 0 0 0 71 -3.567111937e-09 2.985808944e-26
0 0 0 0 72 -4.939401122e-09 -1.624217272e-25
0 0 0 0 73 -2.699062645e-09 1.539485722e-25
0 0 0 0 74 6.464849852e-09 -8.111777802e-26
0 0 0 0 75 2.430853807e-08 5.509680663e-26
0 0 0 0 76 6.515275580e-08 -4.121743010e-25
0 0 0 0 77 1.331903779e-07 -9.047966370e-25
0 0 0 0 78 3.103553530e-07 2.413157064e-25
0 0 0 0 79 6.069892609e-07 1.358734023e-25
0 0 0 0 80 1.226220146e-06 -3.882028691e-24
0 0 0 0 81 2.307512889e-06 5.260907066e-24
0 0 0 0 82 3.840668011e-06 -2.700226702e-24
0 0 0 0 83 6.375357311e-06 -1.787326571e-23
0 0 0 0 84 1.042356270e-05 -2.394335473e-23
0 0 0 0 85 1.797618297e-05 6.038923343e-23
0 0 0 0 86 3.188973557e-05 -3.350626741e-24
0 0 0 0 87 5.856486195e-05 3.493373962e-23
0 0 0 0 88 1.173124590e-04 2.645380548e-22
0 0 0 0 89 2.453832551e-04 8.175274794e-24
0 0 0 0 90 5.091229293e-04 2.305523619e-22
0 0 0 0 91 1.036514395e-03 2.930109605e-22
0 0 0 0 92 2.258386650e-03 1.823991412e-21
0 0 0 0 93 5.725553744e-03 -3.796074003e-21
0 0 0 0 94 1.928129655e-02 -2.526455160e-21
0 0 0 0 95 9.516042933e-02 1.461834938e-20
0 0 0 1 0 1.140163036e+00 3.502923779e-20
0 0 0 1 1 9.582044729e-02 -3.746947229e-21
0 0 0 1 2 1.947238095e-02 -6.157196438e-22
0 0 0 1 3 5.680966844e-03 -2.146323663e-22
0 0 0 1 4 2.179772813e-03 6.227700660e-22
0 0 0 1 5 9.611106619e-04 5.371059816e-22
0 0 0 1 6 4.607511471e-04 -8.096478571e-22
0 0 0 1 7 2.343202295e-04 2.453547752e-22
0 0 0 1 8 1.189494766e-04 1.125327121e-22
0 0 0 1 9 6.366792079e-05 -1.830763145e-23
0 0 0 1 10 3.393871684e-05 1.453008581e-23
0 0 0 1 11 1.798885885e-05 3.492496749e-23
0 0 0 1 12 9.130155511e-06 1.457012208e-23
0 0 0 1 13 4.321228204e-06 -1.187479263e-23
0 0 0 1 14 2.588011998e-06 1.034037612e-23
0 0 0 1 15 1.631467652e-06 1.842678100e-24
0 0 0 1 16 9.758010168e-07 8.759543046e-25
0 0 0 1 17 7.159948909e-07 7.012263473e-25
0 0 0 1 18 4.662203633e-07 -8.567786737e-25
0 0 0 1 19 2.566451992e-07 3.726484253e-25
0 0 0 1 20 1.515685222e-07 5.853450469e-25
0 0 0 1 21 9.114227235e-08 2.813302813e-25
0 0 0 1 22 4.538749072e-08 -4.282512862e-25
0 0 0 1 23 1.558948243e-08 2.204097091e-25
0 0 0 1 24 9.768453108e-09 4.336309231e-26
0 0 0 1 25 7.266087717e-09 -5.037636158e-26
0 0 0 1 26 4.561087551e-09 -2.753371078e-27
0 0 0 1 27 3.324005133e-09 9.855830935e-27
0 0 0 1 28 2.040719357e-09 2.823752262e-27
0 0 0 1 29 4.248801264e-10 1.892329400e-27
0 0 0 1 30 -1.557717136e-10 3.393377628e-27
0 0 0 1 31 -4.742389201e-10 -2.088916003e-27
0 0 0 1 32 -3.823204786e-10 -1.432583730e-27
0 0 0 1 33 -2.463321646e-10 -6.246206811e-28
0 0 0 1 34 -1.001910540e-10 -1.151545869e-27
0 0 0 1 35 -3.309539981e-11 8.377795258e-28
0 0 0 1 36 -6.763687163e-12 2.827727382e-29
0 0 0 1 37 1.550401108e-12 1.631070070e-28
0 0 0 1 38 6.193717837e-12 -2.914482822e-28
0 0 0 1 39 2.416681605e-12 -7.392470239e-29
0 0 0 1 40 9.377302033e-13 4.372982828e-29
0 0 0 1 41 -4.121368104e-12 4.341999430e-29
0 0 0 1 42 -4.253671812e-12 4.157725249e-29
0 0 0 1 43 -3.504585578e-12 4.381586920e-30
0 0 0 1 44 -2.614635763e-12 -1.386017151e-29
0 0 0 1 45 -1.770683287e-12 2.015485687e-31
0 0 0 1 46 -1.189075209e-12 3.091237931e-31
0 0 0 1 47 -6.070234770e-13 -3.709100332e-30
0 0 0 1 48 6.019790213e-14 -1.762593030e-30
0 0 0 1 49 6.577657495e-13 -5.790681527e-30
0 0 0 1 50 9.609446790e-13 1.297474929e-31
0 0 0 1 51 1.779332280e-12 1.301004196e-29
