# px py pz mumu t real imag
0 0 0 0 0 1.137451030e+00 -1.635046558e-20
0 0 0 0 1 9.502784027e-02 -1.870844731e-20
0 0 0 0 2 1.901760713e-02 -5.767995035e-21
0 0 0 0 3 5.500097366e-03 4.142559282e-22
0 0 0 0 4 2.102991224e-03 -2.044205632e-21
0 0 0 0 5 9.159041147e-04 -1.749579892e-23
0 0 0 0 6 4.322676899e-04 1.626306555e-22
0 0 0 0 7 2.173121048e-04 5.268924417e-23
0 0 0 0 8 1.118991125e-04 -1.697069271e-22
0 0 0 0 9 5.526109130e-05 -3.208798386e-23
0 0 0 0 10 2.575244713e-05 -5.158367770e-23
0 0 0 0 11 1.035313425e-05 -5.079484204e-23
0 0 0 0 12 4.196570667e-06 7.780566663e-24
0 0 0 0 13 1.471153910e-06 -1.779243586e-23
0 0 0 0 14 3.276503208e-07 -5.193153381e-24
0 0 0 0 15 -3.426266207e-07 -1.260915271e-26
0 0 0 0 16 -5.971804268e-07 3.478901836e-24
0 0 0 0 17 -5.690792819e-07 -6.008501080e-25
0 0 0 0 18 -3.931826746e-07 -1.175263909e-24
0 0 0 0 19 -2.623116497e-07 -4.925331948e-26
0 0 0 0 20 -1.298452884e-07 2.367844893e-26
0 0 0 0 21 -6.906725638e-08 -2.621211239e-25
0 0 0 0 22 -4.246411238e-08 -1.549259709e-25
0 0 0 0 23 -2.881036006e-08 1.497920641e-25
0 0 0 0 24 -1.755467948e-08 -5.562613230e-26
0 0 0 0 25 -7.758094743e-09 -1.243556387e-25
0 0 0 0 26 -7.195285131e-10 2.204866230e-26
0 0 0 0 27 3.545870701e-10 2.045679030e-26
0 0 0 0 28 -6.151841869e-10 1.930737066e-28
0 0 0 0 29 -1.269760503e-09 3.567820659e-27
0 0 0 0 30 -9.661458247e-10 7.197394336e-27
0 0 0 0 31 -5.796138823e-10 -1.954587782e-27
0 0 0 0 32 -3.287095769e-10 -1.728693148e-27
0 0 0 0 33 -4.040500088e-11 -6.270026712e-28
0 0 0 0 34 1.795136338e-11 -4.371275491e-28
0 0 0 0 35 3.134991592e-11 -1.322435944e-27
0 0 0 0 36 2.503738967e-11 2.454264528e-28
0 0 0 0 37 3.321612611e-12 -1.689691526e-28
0 0 0 0 38 -5.695720478e-12 7.347769405e-29
0 0 0 0 39 -7.580813248e-12 3.199740010e-29
0 0 0 0 40 -7.239590087e-12 -3.166036236e-30
0 0 0 0 41 -7.393305106e-12 -1.360582839e-29
0 0 0 0 42 -5.985984762e-12 4.720454294e-31
0 0 0 0 43 -5.329979191e-12 2.741570905e-29
0 0 0 0 44 -3.722100094e-12 -1.368753597e-29
0 0 0 0 45 -1.950996376e-12 -1.441703008e-30
0 0 0 0 46 -9.566517382e-13 -7.142816755e-30
0 0 0 0 47 -4.090669428e-13 1.730917500e-30
0 0 0 0 48 -2.967565527e-13 4.109946538e-30
0 0 0 0 49 -1.589121434e-13 -1.427643720e-30
0 0 0 0 50 -3.664746479e-14 6.399251315e-30
0 0 0 0 51 -1.151422663e-13 2.775630977e-29
0 0 0 0 52 -2.460266061e-13 2.093100664e-30
0 0 0 0 53 -1.078236001e-12 -1.693910757e-29
0 0 0 0 54 -3.225284251e-12 -5.194059726e-29
0 0 0 0 55 -4.135159877e-12 3.199123712e-29
0 0 0 0 56 -6.992702007e-12 -3.864532508e-29
0 0 0 0 57 -1.531022805e-11 -1.706992154e-28
0 0 0 0 58 -1.759432985e-11 -3.671119067e-28
0 0 0 0 59 -2.455436246e-11 5.774708345e-30
0 0 0 0 60 -3.933766923e-11 -6.452145537e-28
0 0 0 0 61 -5.538714402e-11 4.055238091e-30
0 0 0 0 62 -1.047518415e-10 -3.489661800e-28
0 0 0 0 63 -1.062326049e-10 -2.572376804e-27
0 0 0 0 64 4.966897166e-11 4.722093645e-27
0 0 0 0 65 3.773739267e-10 3.467992777e-27
0 0 0 0 66 7.801041853e-10 2.331577013e-28
0 0 0 0 67 9.296691260e-10 -4.692539095e-27
0 0 0 0 68 1.157134011e-09 1.391580219e-26
0 0 0 0 69 2.077916034e-09 3.137137118e-26
0 0 0 0 70 3.805475367e-09 -1.166291405e-26
0 0 0 0 71 5.504405680e-09 -3.424957949e-26
0 0 0 0 72 9.470122504e-09 -2.373942788e-25
0 0 0 0 73 1.412314166e-08 -1.675925132e-26
0 0 0 0 74 7.470578198e-09 -7.645876552e-26
0 0 0 0 75 1.234915322e-08 -2.900649437e-25
0 0 0 0 76 1.984077597e-08 3.000456119e-25
0 0 0 0 77 2.034933346e-08 1.578367888e-24
0 0 0 0 78 5.399210867e-08 9.859246702e-25
0 0 0 0 79 1.637519317e-07 3.425660035e-24
0 0 0 0 80 3.059000450e-07 5.311747574e-25
0 0 0 0 81 6.006662158e-07 -2.690583667e-25
0 0 0 0 82 1.470387149e-06 -5.145594534e-24
0 0 0 0 83 2.390371994e-06 1.808649796e-24
0 0 0 0 84 4.862220295e-06 -8.823327183e-24
0 0 0 0 85 1.073528826e-05 4.500096792e-23
0 0 0 0 86 2.463752176e-05 2.234983046e-23
0 0 0 0 87 5.600793438e-05 1.830427911e-22
0 0 0 0 88 1.157480686e-04 2.006516811e-22
0 0 0 0 89 2.321258637e-04 -2.151962062e-22
0 0 0 0 90 4.482042527e-04 -1.649817386e-22
0 0 0 0 91 9.197838201e-04 6.530687871e-23
0 0 0 0 92 2.060981713e-03 -2.356139964e-22
0 0 0 0 93 5.423286645e-03 -9.412313707e-22
0 0 0 0 94 1.896866366e-02 -8.898653933e-23
0 0 0 0 95 9.513553516e-02 -1.199153394e-22
0 0 0 1 0 1.135761306e+00 -1.152179875e-20
0 0 0 1 1 9.475894837e-02 -3.273438027e-21
0 0 0 1 2 1.889319963e-02 2.315979699e-21
0 0 0 1 3 5.514919763e-03 -1.504014686e-21
0 0 0 1 4 2.147802869e-03 5.861964045e-22
0 0 0 1 5 9.827240632e-04 8.418404502e-22
0 0 0 1 6 4.752779949e-04 -2.795886626e-22
