# px py pz mumu t real imag
0 0 0 0 0 1.137150036e+00 -2.001177376e-20
0 0 0 0 1 9.542678716e-02 5.032902889e-21
0 0 0 0 2 1.929127294e-02 8.513321054e-21
0 0 0 0 3 5.709777404e-03 -1.928422964e-21
0 0 0 0 4 2.216022658e-03 7.545971294e-22
0 0 0 0 5 1.015423758e-03 1.738121340e-22
0 0 0 0 6 5.059474652e-04 -2.152624453e-22
0 0 0 0 7 2.743180546e-04 -2.724162635e-23
0 0 0 0 8 1.506571063e-04 1.364331023e-22
0 0 0 0 9 8.363941412e-05 2.828509370e-23
0 0 0 0 10 4.408647193e-05 -1.067988924e-23
0 0 0 0 11 2.308092148e-05 -1.156149494e-23
0 0 0 0 12 1.290339834e-05 -1.030512351e-23
0 0 0 0 13 6.746276854e-06 -3.653170676e-24
0 0 0 0 14 3.424214506e-06 1.292424269e-23
0 0 0 0 15 1.706278767e-06 -8.998864512e-24
0 0 0 0 16 7.508170509e-07 -1.132094285e-24
0 0 0 0 17 3.052494925e-07 -7.277052524e-25
0 0 0 0 18 5.378269260e-08 -7.855918656e-25
0 0 0 0 19 2.169277580e-08 6.370525126e-26
0 0 0 0 20 -1.182383551e-08 5.016839813e-25
0 0 0 0 21 -2.057320104e-08 1.914652192e-25
0 0 0 0 22 -1.931535805e-08 -8.141438972e-27
0 0 0 0 23 -1.507021225e-08 -2.159869604e-25
0 0 0 0 24 -1.003605488e-08 6.039183824e-26
0 0 0 0 25 -6.687255013e-09 6.878867094e-28
0 0 0 0 26 -1.976913656e-09 -6.454952965e-27
0 0 0 0 27 -9.003627302e-10 -5.129942745e-26
0 0 0 0 28 -1.118609304e-09 -1.131719576e-27
0 0 0 0 29 -1.460500851e-09 3.118958804e-28
0 0 0 0 30 -1.181960466e-09 -4.106390790e-29
0 0 0 0 31 -5.423583554e-10 3.161816138e-27
0 0 0 0 32 -1.545417216e-10 1.629466155e-27
0 0 0 0 33 -6.591984862e-11 8.376716737e-28
0 0 0 0 34 -7.103380168e-12 1.515398717e-29
0 0 0 0 35 -1.083413800e-11 -4.678669318e-28
0 0 0 0 36 3.340644085e-12 -3.123396147e-29
0 0 0 0 37 2.564616429e-11 1.087965529e-28
0 0 0 0 38 2.766524271e-11 1.307267320e-28
0 0 0 0 39 2.677336246e-11 7.080662181e-29
0 0 0 0 40 1.909407811e-11 1.560022514e-29
0 0 0 0 41 1.286066134e-11 1.149828325e-28
0 0 0 0 42 8.148067696e-12 4.002340018e-29
0 0 0 0 43 4.343222561e-12 -1.474106779e-29
0 0 0 0 44 1.621978336e-12 -4.039638058e-30
0 0 0 0 45 9.624517376e-13 -2.577616489e-30
0 0 0 0 46 5.333898180e-13 1.886604862e-30
0 0 0 0 47 4.259577945e-13 -5.214575695e-31
