# px py pz mumu t real imag
0 0 0 0 0 1.135625863e+00 8.717449681e-22
0 0 0 0 1 9.576848995e-02 -1.028306994e-20
0 0 0 0 2 1.956010435e-02 -1.029859250e-21
0 0 0 0 3 5.816013023e-03 -3.584761668e-22
0 0 0 0 4 2.264698864e-03 2.172499406e-21
0 0 0 0 5 1.033609560e-03 -8.164038386e-22
0 0 0 0 6 5.120165991e-04 5.508384723e-23
0 0 0 0 7 2.663135206e-04 1.663827556e-22
0 0 0 0 8 1.418325767e-04 -1.067071068e-22
0 0 0 0 9 7.572163075e-05 5.179976248e-24
0 0 0 0 10 4.040610191e-05 -4.416959688e-23
0 0 0 0 11 2.237173508e-05 2.704896759e-24
0 0 0 0 12 1.229125278e-05 -9.068290583e-24
0 0 0 0 13 6.667679935e-06 -1.524331704e-23
0 0 0 0 14 3.559007963e-06 1.197796301e-23
0 0 0 0 15 1.944110454e-06 5.398105755e-24
0 0 0 0 16 1.201352055e-06 -5.867294978e-24
0 0 0 0 17 8.107891327e-07 -2.323706548e-24
0 0 0 0 18 5.197181368e-07 -1.227016340e-24
0 0 0 0 19 3.496199452e-07 1.845618974e-25
0 0 0 0 20 1.992397801e-07 6.225264279e-25
0 0 0 0 21 9.191462658e-08 5.210134400e-25
0 0 0 0 22 4.201810910e-08 -5.333449137e-26
0 0 0 0 23 1.765528048e-08 -1.993057077e-26
0 0 0 0 24 7.126650614e-09 -1.390663168e-26
0 0 0 0 25 3.829996542e-09 -3.323964032e-27
0 0 0 0 26 7.704131467e-10 4.897958474e-26
0 0 0 0 27 -3.789751568e-10 3.028668743e-26
0 0 0 0 28 -1.110659505e-10 -1.363802454e-26
0 0 0 0 29 -1.663274175e-10 -7.749412080e-27
0 0 0 0 30 -2.079590660e-10 -4.853220200e-28
0 0 0 0 31 -1.928153000e-10 1.388912883e-27
0 0 0 0 32 -9.112190434e-11 7.842201844e-28
0 0 0 0 33 -4.078415886e-11 6.602796592e-28
0 0 0 0 34 -7.537404227e-11 2.277866679e-28
0 0 0 0 35 -7.883764905e-11 6.054029817e-28
0 0 0 0 36 -5.786977240e-11 2.592656076e-28
0 0 0 0 37 -4.207006228e-11 2.355393063e-28
0 0 0 0 38 -1.740280937e-11 7.238549918e-29
0 0 0 0 39 -1.185786405e-11 -8.052813839e-29
0 0 0 0 40 -6.116109684e-12 4.730661722e-30
0 0 0 0 41 -1.274182828e-12 1.890878019e-29
0 0 0 0 42 3.530642707e-13 4.075383318e-29
0 0 0 0 43 2.361989608e-13 7.112940767e-30
0 0 0 0 44 -4.119988841e-13 -9.192800662e-30
0 0 0 0 45 -4.160529425e-13 -8.224780124e-30
0 0 0 0 46 -2.614719093e-13 3.209056696e-30
0 0 0 0 47 -1.324085205e-13 1.362150064e-30
0 0 0 0 48 6.214098029e-14 8.693527398e-31
0 0 0 0 49 2.177187086e-13 2.193513836e-30
0 0 0 0 50 3.961014937e-13 -2.700226004e-30
0 0 0 0 51 6.338269124e-13 -1.932369773e-30
0 0 0 0 52 4.584536287e-13 1.135359776e-29
0 0 0 0 53 2.896661735e-13 2.902896427e-29
0 0 0 0 54 7.789491033e-13 1.773299996e-29
0 0 0 0 55 9.644317769e-13 2.239933563e-29
0 0 0 0 56 5.159428477e-12 -7.694860500e-30
0 0 0 0 57 1.348579687e-11 7.109454834e-29
0 0 0 0 58 2.710032659e-11 3.909637787e-29
0 0 0 0 59 5.036123204e-11 -8.857197740e-29
0 0 0 0 60 9.349775264e-11 2.771428597e-28
0 0 0 0 61 1.268331189e-10 -4.297982301e-29
0 0 0 0 62 1.586853458e-10 1.555005082e-27
0 0 0 0 63 2.628069626e-10 -1.701942751e-27
0 0 0 0 64 3.735955815e-10 2.686052893e-27
0 0 0 0 65 6.149537738e-10 7.370905216e-27
0 0 0 0 66 9.790052423e-10 1.263769961e-26
